10357585|COMPLETED|00:18:18|02:04.628||4|2026-09-08T10:43:13|2026-09-08T11:01:31
10357585.batch|COMPLETED|00:18:18|02:04.628|1304760K|4|2026-09-08T10:43:13|2026-09-08T11:01:31
10357585.extern|COMPLETED|00:18:18|00:00:00||4|2026-09-08T10:43:13|2026-09-08T11:01:31
10357851|COMPLETED|00:19:12|03:02.377||4|2026-09-08T11:23:09|2026-09-08T11:42:21
10357851.batch|COMPLETED|00:19:12|03:02.377|2285212K|4|2026-09-08T11:23:09|2026-09-08T11:42:21
10357851.extern|COMPLETED|00:19:12|00:00:00||4|2026-09-08T11:23:09|2026-09-08T11:42:21
10358980|FAILED|02:03:37|04:03:19||4|2026-09-08T12:45:50|2026-09-08T14:49:27
10358980.batch|FAILED|02:03:37|04:03:18|32790108K|4|2026-09-08T12:45:50|2026-09-08T14:49:27
10358980.extern|COMPLETED|02:03:37|00:00:00||4|2026-09-08T12:45:50|2026-09-08T14:49:27
10358980.0|COMPLETED|00:00:00|00:00.177|2320K|1|2026-09-08T14:48:56|2026-09-08T14:48:56
10358980.1|COMPLETED|00:00:01|00:00.194|2300K|1|2026-09-08T14:49:21|2026-09-08T14:49:22
10359309|COMPLETED|00:29:36|03:26.802||4|2026-09-08T13:09:45|2026-09-08T13:39:21
10359309.batch|COMPLETED|00:29:36|03:26.802|3140824K|4|2026-09-08T13:09:45|2026-09-08T13:39:21
10359309.extern|COMPLETED|00:29:36|00:00:00||4|2026-09-08T13:09:45|2026-09-08T13:39:21
10360063|FAILED|00:40:19|03:41.989||4|2026-09-08T14:52:32|2026-09-08T15:32:51
10360063.batch|FAILED|00:40:19|03:41.583|4955796K|4|2026-09-08T14:52:32|2026-09-08T15:32:51
10360063.extern|COMPLETED|00:40:19|00:00:00||4|2026-09-08T14:52:32|2026-09-08T15:32:51
10360063.0|COMPLETED|00:00:00|00:00.188|2908K|1|2026-09-08T14:59:33|2026-09-08T14:59:33
10360063.1|COMPLETED|00:00:00|00:00.017|4488K|1|2026-09-08T15:00:00|2026-09-08T15:00:00
10360063.2|COMPLETED|00:00:01|00:00.199|2288K|1|2026-09-08T15:21:50|2026-09-08T15:21:51
10362700|RUNNING|00:08:42|00:00.049||4|2026-09-08T18:04:41|Unknown
10362700.batch|RUNNING|00:08:42|00:00:00||4|2026-09-08T18:04:41|Unknown
10362700.extern|RUNNING|00:08:42|00:00:00||4|2026-09-08T18:04:41|Unknown
10362700.0|COMPLETED|00:00:00|00:00.049|1540K|1|2026-09-08T18:09:29|2026-09-08T18:09:29
