reference,setting,auditor,metric,matched_auditor_rows,tasks,candidate_minus_reference,ci_low,ci_high,resampling
original,full,gpt-5.6-sol,RH,59,20,-3.389830508474576,-10.169491525423728,3.3333333333333335,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,gpt-5.6-sol,W,59,20,1.2203389830508475,-0.3684210526315789,3.5166666666666666,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,gpt-5.6-sol,S,59,20,4.338983050847458,0.7586206896551724,8.483333333333333,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,gpt-5.6-sol,H,59,20,2.7344632768361574,-0.7333333333333344,6.578947368421054,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,gpt-5.6-sol,A,59,20,2.9322033898305087,-1.9830508474576272,7.677966101694915,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,gpt-5.6-sol,WS,59,20,-3.1186440677966103,-6.192982456140351,-0.25,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,gpt-5.6-sol,WA,59,20,-1.7118644067796611,-6.915254237288136,3.8135593220338984,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,gpt-5.6-sol,SH,59,20,1.6045197740113,0.07909604519774044,3.252873563218391,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,gpt-5.6-sol,HA,59,20,-0.19774011299435096,-6.01129943502825,5.8999999999999995,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,claude-opus-5,RH,59,20,-8.474576271186441,-20.338983050847457,1.7241379310344827,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,claude-opus-5,W,59,20,1.2203389830508475,-0.3728813559322034,3.4745762711864407,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,claude-opus-5,S,59,20,1.152542372881356,-1.4,3.76271186440678,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,claude-opus-5,H,59,20,2.079096045197741,-0.3898305084745758,4.612121212121213,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,claude-opus-5,A,59,20,3.3389830508474576,-1.3275862068965518,8.220338983050848,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,claude-opus-5,WS,59,20,0.06779661016949153,-2.4909090909090907,2.6440677966101696,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,claude-opus-5,WA,59,20,-2.1186440677966103,-7.526315789473684,3.2586206896551726,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,claude-opus-5,SH,59,20,-0.9265536723163849,-2.56140350877193,0.7126436781609192,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
original,full,claude-opus-5,HA,59,20,-1.259887005649717,-5.954802259887004,3.2555555555555555,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,pooled,RH,120,20,-2.5,-11.666666666666666,4.166666666666667,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,pooled,W,120,20,0.45,-1.9333333333333333,2.85,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,pooled,S,120,20,1.4666666666666666,-0.8333333333333334,3.875,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,pooled,H,120,20,2.175,-0.6000000000000004,4.891666666666667,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,pooled,A,120,20,-0.16666666666666666,-4.533333333333333,4.316666666666666,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,pooled,WS,120,20,-1.0166666666666666,-3.2333333333333334,1.1333333333333333,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,pooled,WA,120,20,0.6166666666666667,-3.8916666666666666,5.008333333333334,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,pooled,SH,120,20,-0.708333333333333,-2.369444444444443,0.9444444444444448,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,pooled,HA,120,20,2.3416666666666663,-2.2472222222222222,6.947222222222222,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
