setting,task_id,replicate,coverage,original_admitted,candidate_admitted,original_W,candidate_W,delta_W,original_S,candidate_S,delta_S,original_H,candidate_H,delta_H,original_A,candidate_A,delta_A,original_WS,candidate_WS,delta_WS,original_WA,candidate_WA,delta_WA,original_SH,candidate_SH,delta_SH,original_HA,candidate_HA,delta_HA
full,da-13-1,2,admitted->none,1,0,100.0,100.0,0.0,95.5,88.5,-7.0,91.0,90.33333333333333,-0.6666666666666714,62.5,67,4.5,4.5,11.5,7.0,37.5,33.0,-4.5,4.5,-1.8333333333333286,-6.333333333333329,28.5,23.33333333333333,-5.166666666666671
full,da-13-1,3,admitted->none,1,0,95.0,100.0,5.0,57.0,86.0,29.0,54.0,86.16666666666666,32.16666666666666,59,59,0,38.0,14.0,-24.0,36.0,41.0,5.0,3.0,-0.1666666666666643,-3.1666666666666643,-5.0,27.166666666666664,32.166666666666664
full,da-13-3,1,none->none,0,0,100.0,100.0,0.0,97.5,100.0,2.5,97.5,100.0,2.5,88.5,84,-4.5,2.5,0.0,-2.5,11.5,16.0,4.5,0.0,0.0,0.0,9.0,16.0,7.0
full,da-13-3,2,admitted->admitted,1,1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,84,80.5,-3.5,0.0,0.0,0.0,16.0,19.5,3.5,0.0,0.0,0.0,16.0,19.5,3.5
full,da-13-3,3,admitted->none,1,0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,86.5,89,2.5,0.0,0.0,0.0,13.5,11.0,-2.5,0.0,0.0,0.0,13.5,11.0,-2.5
full,da-13-5,1,admitted->admitted,1,2,100.0,100.0,0.0,92.5,100.0,7.5,93.33333333333333,96.66666666666666,3.3333333333333286,78.5,90.5,12.0,7.5,0.0,-7.5,21.5,9.5,-12.0,-0.8333333333333286,3.3333333333333357,4.166666666666664,14.833333333333329,6.166666666666664,-8.666666666666664
full,da-13-5,2,admitted->admitted,2,1,100.0,100.0,0.0,95.0,92.5,-2.5,91.66666666666667,91.66666666666667,0.0,70,78,8,5.0,7.5,2.5,30.0,22.0,-8.0,3.3333333333333286,0.8333333333333286,-2.5,21.66666666666667,13.666666666666671,-8.0
full,da-13-5,3,admitted->none,1,0,100.0,100.0,0.0,100.0,92.5,-7.5,98.33333333333334,90.0,-8.333333333333343,80,85,5,0.0,7.5,7.5,20.0,15.0,-5.0,1.6666666666666643,2.5,0.8333333333333357,18.333333333333336,5.0,-13.333333333333336
full,da-13-6,1,none->admitted,0,1,100.0,100.0,0.0,75.0,100.0,25.0,81.66666666666666,100.0,18.333333333333343,83,86.5,3.5,25.0,0.0,-25.0,17.0,13.5,-3.5,-6.666666666666664,0.0,6.666666666666664,-1.3333333333333357,13.5,14.833333333333336
full,da-13-6,2,none->none,0,0,100.0,100.0,0.0,100.0,90.0,-10.0,100.0,97.5,-2.5,78,59,-19,0.0,10.0,10.0,22.0,41.0,19.0,0.0,-7.5,-7.5,22.0,38.5,16.5
full,da-13-6,3,none->none,0,0,100.0,100.0,0.0,95.0,75.0,-20.0,96.66666666666667,81.66666666666667,-15.0,55,83.5,28.5,5.0,25.0,20.0,45.0,16.5,-28.5,-1.6666666666666714,-6.666666666666671,-5.0,41.66666666666667,-1.8333333333333286,-43.5
full,da-14-1,1,none->none,0,0,100.0,100.0,0.0,67.0,91.5,24.5,71.5,97.66666666666666,26.166666666666657,59,74,15,33.0,8.5,-24.5,41.0,26.0,-15.0,-4.5,-6.166666666666664,-1.6666666666666643,12.5,23.666666666666664,11.166666666666664
full,da-14-1,2,admitted->none,1,0,100.0,100.0,0.0,89.0,89.0,0.0,85.0,85.0,0.0,85,85,0,11.0,11.0,0.0,15.0,15.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
full,da-14-1,3,admitted->admitted,1,1,100.0,100.0,0.0,88.0,96.5,8.5,79.66666666666667,91.5,11.833333333333329,86.5,78.5,-8.0,12.0,3.5,-8.5,13.5,21.5,8.0,8.333333333333329,5.0,-3.3333333333333286,-6.833333333333329,13.0,19.83333333333333
full,da-14-3,1,none->admitted,0,1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,98.16666666666666,-1.8333333333333428,90.5,80.5,-10.0,0.0,0.0,0.0,9.5,19.5,10.0,0.0,1.8333333333333357,1.8333333333333357,9.5,17.666666666666664,8.166666666666664
full,da-14-3,2,none->admitted,0,2,100.0,100.0,0.0,100.0,100.0,0.0,95.66666666666666,100.0,4.333333333333343,71,85.5,14.5,0.0,0.0,0.0,29.0,14.5,-14.5,4.333333333333336,0.0,-4.333333333333336,24.666666666666664,14.5,-10.166666666666664
full,da-14-3,3,admitted->admitted,1,1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,89.5,92.5,3.0,0.0,0.0,0.0,10.5,7.5,-3.0,0.0,0.0,0.0,10.5,7.5,-3.0
full,da-14-8,1,none->admitted,0,1,100.0,100.0,0.0,95.0,100.0,5.0,98.33333333333334,100.0,1.6666666666666572,60,64,4,5.0,0.0,-5.0,40.0,36.0,-4.0,-3.3333333333333357,0.0,3.3333333333333357,38.333333333333336,36.0,-2.3333333333333357
full,da-14-8,2,admitted->admitted,1,1,100.0,100.0,0.0,100.0,95.0,-5.0,100.0,95.83333333333333,-4.166666666666671,45,38,-7,0.0,5.0,5.0,55.0,62.0,7.0,0.0,-0.8333333333333286,-0.8333333333333286,55.0,57.83333333333333,2.8333333333333286
full,da-14-8,3,admitted->none,1,0,100.0,100.0,0.0,87.5,100.0,12.5,95.83333333333334,100.0,4.166666666666657,52.5,60,7.5,12.5,0.0,-12.5,47.5,40.0,-7.5,-8.333333333333336,0.0,8.333333333333336,43.333333333333336,40.0,-3.3333333333333357
full,da-15-1,1,admitted->none,1,0,87.0,100.0,13.0,81.0,100.0,19.0,79.83333333333333,96.16666666666667,16.333333333333343,51,63.5,12.5,6.0,0.0,-6.0,36.0,36.5,0.5,1.1666666666666714,3.8333333333333286,2.666666666666657,28.83333333333333,32.66666666666667,3.833333333333343
full,da-15-1,2,none->none,0,0,77.0,77.0,0.0,64.5,77.0,12.5,66.16666666666666,72.83333333333334,6.666666666666686,65,79,14,12.5,0.0,-12.5,12.0,-2.0,-14.0,-1.6666666666666643,4.166666666666664,5.833333333333329,1.1666666666666643,-6.166666666666664,-7.333333333333329
full,da-15-1,3,none->none,0,0,87.0,87.0,0.0,87.0,84.5,-2.5,85.33333333333334,76.66666666666666,-8.666666666666686,61,55.5,-5.5,0.0,2.5,2.5,26.0,31.5,5.5,1.6666666666666643,7.833333333333336,6.166666666666671,24.333333333333336,21.166666666666664,-3.1666666666666714
full,da-15-2,1,none->none,0,0,100.0,83.0,-17.0,65.0,53.5,-11.5,57.5,52.5,-5.0,30,29,-1,35.0,29.5,-5.5,70.0,54.0,-16.0,7.5,1.0,-6.5,27.5,23.5,-4.0
full,da-15-2,2,none->admitted,0,2,100.0,100.0,0.0,78.0,72.5,-5.5,81.33333333333334,70.5,-10.833333333333343,41,66,25,22.0,27.5,5.5,59.0,34.0,-25.0,-3.3333333333333357,2.0,5.333333333333336,40.333333333333336,4.5,-35.833333333333336
full,da-15-2,3,none->admitted,0,1,100.0,100.0,0.0,78.0,83.0,5.0,76.16666666666666,78.0,1.8333333333333428,48,56.5,8.5,22.0,17.0,-5.0,52.0,43.5,-8.5,1.8333333333333357,5.0,3.1666666666666643,28.166666666666664,21.5,-6.666666666666664
full,da-15-7,1,admitted->none,1,0,90.0,67.0,-23.0,78.5,59.5,-19.0,75.16666666666666,63.66666666666667,-11.499999999999986,43.5,79,35.5,11.5,7.5,-4.0,46.5,-12.0,-58.5,3.3333333333333357,-4.166666666666668,-7.5000000000000036,31.666666666666664,-15.333333333333332,-47.0
full,da-15-7,2,admitted->admitted,1,1,77.0,90.0,13.0,77.0,85.0,8.0,75.83333333333334,84.16666666666666,8.333333333333314,69,64,-5,0.0,5.0,5.0,8.0,26.0,18.0,1.1666666666666643,0.8333333333333357,-0.3333333333333286,6.833333333333336,20.166666666666664,13.333333333333329
