setting,task_id,replicate,coverage,original_admitted,candidate_admitted,original_W,candidate_W,delta_W,original_S,candidate_S,delta_S,original_H,candidate_H,delta_H,original_A,candidate_A,delta_A,original_WS,candidate_WS,delta_WS,original_WA,candidate_WA,delta_WA,original_SH,candidate_SH,delta_SH,original_HA,candidate_HA,delta_HA
user,da-10-3,2,admitted->admitted,1,1,100.0,100.0,0.0,86.5,100.0,13.5,88.33333333333334,100.0,11.666666666666657,53,77,24,13.5,0.0,-13.5,47.0,23.0,-24.0,-1.8333333333333357,0.0,1.8333333333333357,35.333333333333336,23.0,-12.333333333333336
user,da-10-3,3,admitted->admitted,1,1,100.0,100.0,0.0,100.0,100.0,0.0,95.33333333333334,98.16666666666666,2.8333333333333144,42.5,87.5,45.0,0.0,0.0,0.0,57.5,12.5,-45.0,4.666666666666664,1.8333333333333357,-2.8333333333333286,52.833333333333336,10.666666666666664,-42.16666666666667
user,da-12-2,1,admitted->admitted,1,1,100.0,60.0,-40.0,97.5,65.0,-32.5,97.5,66.66666666666667,-30.83333333333333,59,48.5,-10.5,2.5,-5.0,-7.5,41.0,11.5,-29.5,0.0,-1.6666666666666679,-1.6666666666666679,38.5,18.166666666666668,-20.333333333333332
user,da-12-2,2,admitted->admitted,1,2,75.0,75.0,0.0,78.5,70.0,-8.5,84.5,70.83333333333333,-13.666666666666671,92.5,74.5,-18.0,-3.5,5.0,8.5,-17.5,0.5,18.0,-6.0,-0.8333333333333286,5.166666666666671,-8.0,-3.6666666666666714,4.333333333333329
user,da-12-2,3,admitted->admitted,3,2,75.0,75.0,0.0,67.5,72.5,5.0,69.16666666666666,72.5,3.333333333333343,92,85,-7,7.5,2.5,-5.0,-17.0,-10.0,7.0,-1.6666666666666643,0.0,1.6666666666666643,-22.833333333333336,-12.5,10.333333333333336
user,da-12-4,1,admitted->admitted,1,1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,71,85,14,0.0,0.0,0.0,29.0,15.0,-14.0,0.0,0.0,0.0,29.0,15.0,-14.0
user,da-12-4,2,admitted->none,1,0,66.0,100.0,34.0,61.5,97.5,36.0,59.66666666666667,98.33333333333334,38.66666666666667,33.5,79,45.5,4.5,2.5,-2.0,32.5,21.0,-11.5,1.8333333333333321,-0.8333333333333357,-2.666666666666668,26.166666666666668,19.333333333333336,-6.833333333333332
user,da-12-4,3,admitted->admitted,1,1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,89.5,90,0.5,0.0,0.0,0.0,10.5,10.0,-0.5,0.0,0.0,0.0,10.5,10.0,-0.5
user,da-13-1,1,none->none,0,0,100.0,100.0,0.0,91.0,95.5,4.5,91.0,93.16666666666666,2.166666666666657,85,85,0,9.0,4.5,-4.5,15.0,15.0,0.0,0.0,2.3333333333333357,2.3333333333333357,6.0,8.166666666666664,2.1666666666666643
user,da-13-1,2,none->admitted,0,3,100.0,100.0,0.0,78.0,95.5,17.5,83.66666666666666,91.0,7.333333333333343,75,82,7,22.0,4.5,-17.5,25.0,18.0,-7.0,-5.666666666666664,4.5,10.166666666666664,8.666666666666664,9.0,0.3333333333333357
