arm,condition,task_id,n,S,D,H,S_minus_D,D_minus_H,S_minus_H
Full,RTT,da-17-1,3,86.83333333333333,85.33333333333333,86.05555555555554,1.5,-0.7222222222222214,0.7777777777777786
Full,RTT,da-17-5,3,90.33333333333333,87.33333333333333,89.22222222222221,3.0,-1.8888888888888882,1.1111111111111118
Full,RTT,da-20-4,3,9.166666666666666,7.5,8.88888888888889,1.6666666666666667,-1.388888888888889,0.2777777777777777
Full,RTT,da-26-2,3,77.66666666666667,74.83333333333333,78.5,2.8333333333333335,-3.6666666666666665,-0.8333333333333334
Full,RTT,da-26-4,3,74.66666666666667,70.83333333333333,68.72222222222223,3.8333333333333335,2.1111111111111107,5.944444444444444
Full,Static,da-17-1,3,94.83333333333333,93.16666666666667,95.38888888888887,1.6666666666666667,-2.2222222222222214,-0.5555555555555548
Full,Static,da-17-5,3,85.0,93.33333333333333,86.94444444444444,-8.333333333333334,6.388888888888888,-1.9444444444444453
Full,Static,da-20-4,3,95.83333333333333,95.83333333333333,94.72222222222223,0.0,1.1111111111111096,1.1111111111111096
Full,Static,da-26-2,3,80.0,83.0,80.44444444444444,-3.0,2.555555555555556,-0.44444444444444403
Full,Static,da-26-4,3,87.33333333333333,90.16666666666667,87.22222222222221,-2.8333333333333335,2.944444444444445,0.1111111111111119
User,RTT,da-17-1,3,88.66666666666667,88.66666666666667,87.22222222222221,0.0,1.4444444444444453,1.4444444444444453
User,RTT,da-17-5,3,85.0,82.66666666666667,82.0,2.3333333333333335,0.6666666666666666,3.0
User,RTT,da-20-4,3,10.833333333333334,8.333333333333334,10.0,2.5,-1.666666666666667,0.833333333333333
User,RTT,da-26-2,3,63.666666666666664,56.833333333333336,60.22222222222222,6.833333333333333,-3.3888888888888893,3.444444444444444
User,RTT,da-26-4,3,56.5,53.333333333333336,54.05555555555555,3.1666666666666665,-0.7222222222222227,2.444444444444444
User,Static,da-17-1,3,82.5,83.16666666666667,82.05555555555556,-0.6666666666666666,1.1111111111111118,0.44444444444444525
User,Static,da-17-5,3,91.83333333333333,88.33333333333333,87.16666666666667,3.5,1.1666666666666667,4.666666666666667
User,Static,da-20-4,3,17.5,17.5,19.722222222222225,0.0,-2.2222222222222228,-2.2222222222222228
User,Static,da-26-2,3,71.0,71.0,69.77777777777777,0.0,1.2222222222222225,1.2222222222222225
User,Static,da-26-4,3,67.5,67.66666666666667,68.16666666666667,-0.16666666666666666,-0.5000000000000012,-0.6666666666666679
