arm,task_id,replicate,delta_W,delta_W_train,delta_S,delta_H,delta_A,delta_W_minus_S,delta_W_minus_A,delta_S_minus_H,delta_H_minus_A,delta_RH,narrower_gap_with_substantial_A_loss
full,da-19-6,1,13.0,13.0,24.0,11.999999999999993,-5,-11.0,18.0,12.000000000000007,16.999999999999993,0.0,True
full,da-19-6,2,33.0,33.0,19.0,19.0,-8.5,14.0,41.5,0.0,27.5,0.0,False
full,da-19-6,3,33.0,33.0,14.0,15.666666666666671,7,19.0,26.0,-1.6666666666666714,8.666666666666671,0.0,False
user,da-10-1,1,6.0,6.0,-4.5,2.8333333333333357,-0.5,10.5,6.5,-7.333333333333336,3.3333333333333357,0.0,False
user,da-10-1,2,0.0,0.0,16.5,6.999999999999993,4,-16.5,-4.0,9.500000000000007,2.999999999999993,0.0,False
user,da-10-1,3,9.0,9.0,11.0,24.0,29,-2.0,-20.0,-13.0,-5.0,0.0,False
user,da-10-3,1,0.0,0.0,2.5,8.5,12,-2.5,-12.0,-6.0,-3.5,0.0,False
user,da-10-3,2,10.0,10.0,-15.0,-18.333333333333336,-1,25.0,11.0,3.3333333333333357,-17.333333333333336,0.0,False
user,da-10-3,3,0.0,0.0,-10.5,-11.166666666666664,31.5,10.5,-31.5,0.6666666666666643,-42.666666666666664,0.0,False
user,da-12-2,1,-10.0,-10.0,0.0,-11.666666666666668,8.5,-10.0,-18.5,11.666666666666668,-20.166666666666668,0.0,False
user,da-12-2,2,40.0,40.0,27.5,25.0,-1,12.5,41.0,2.5,26.0,-50.0,False
user,da-12-2,3,25.0,25.0,32.5,31.66666666666667,-9,-7.5,34.0,0.8333333333333286,40.66666666666667,0.0,True
user,da-12-4,1,5.0,5.0,0.0,0.0,4.5,5.0,0.5,0.0,-4.5,50.0,False
user,da-12-4,2,5.0,5.0,0.0,0.0,-26.5,5.0,31.5,0.0,26.5,0.0,False
user,da-12-4,3,19.0,19.0,14.0,13.166666666666664,-0.5,5.0,19.5,0.8333333333333357,13.666666666666664,-50.0,False
user,da-13-1,1,0.0,0.0,11.5,7.5,-1,-11.5,1.0,4.0,8.5,0.0,False
user,da-13-1,2,-9.0,-9.0,2.0,-1.3333333333333357,19.5,-11.0,-28.5,3.3333333333333357,-20.833333333333336,0.0,False
user,da-13-1,3,9.0,9.0,9.0,9.0,-15.5,0.0,24.5,0.0,24.5,0.0,False
user,da-13-3,1,0.0,0.0,-9.0,-9.0,-8,9.0,8.0,0.0,-1.0,0.0,False
user,da-13-3,2,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,0.0,-0.5,0.0,False
user,da-13-3,3,0.0,0.0,-9.0,-11.333333333333336,4,9.0,-4.0,2.3333333333333357,-15.333333333333336,0.0,False
user,da-13-5,1,0.0,0.0,-25.0,-16.666666666666664,-8.5,25.0,8.5,-8.333333333333336,-8.166666666666664,0.0,False
user,da-13-5,2,10.0,10.0,-2.5,0.8333333333333286,19,12.5,-9.0,-3.3333333333333286,-18.16666666666667,0.0,False
user,da-13-5,3,0.0,0.0,-12.5,-14.166666666666664,-9,12.5,9.0,1.6666666666666643,-5.166666666666664,0.0,False
user,da-13-6,1,-10.0,-10.0,-5.0,26.666666666666668,9,-5.0,-19.0,-31.666666666666668,17.666666666666668,0.0,False
user,da-13-6,2,-5.0,-5.0,10.0,0.8333333333333286,-21.5,-15.0,16.5,9.166666666666671,22.33333333333333,0.0,True
user,da-13-6,3,0.0,0.0,-25.0,-26.666666666666664,10.5,25.0,-10.5,1.6666666666666643,-37.166666666666664,0.0,False
user,da-14-1,1,0.0,0.0,8.5,2.6666666666666643,4,-8.5,-4.0,5.833333333333336,-1.3333333333333357,0.0,False
user,da-14-1,2,0.0,0.0,-14.5,-2.3333333333333357,-8,14.5,8.0,-12.166666666666664,5.666666666666664,0.0,False
user,da-14-1,3,0.0,0.0,16.0,15.333333333333336,-1.5,-16.0,1.5,0.6666666666666643,16.833333333333336,0.0,False
user,da-14-3,1,0.0,0.0,5.5,0.0,-4,-5.5,4.0,5.5,4.0,0.0,False
user,da-14-3,2,0.0,0.0,-5.5,-5.5,2.5,5.5,-2.5,0.0,-8.0,0.0,False
user,da-14-3,3,0.0,0.0,0.0,0.0,2.5,0.0,-2.5,0.0,-2.5,0.0,False
user,da-14-8,1,0.0,0.0,23.0,15.5,1.5,-23.0,-1.5,7.5,14.0,-50.0,False
user,da-14-8,2,17.0,17.0,26.5,30.000000000000004,20,-9.5,-3.0,-3.5000000000000036,10.000000000000004,-50.0,False
user,da-14-8,3,-7.0,-7.0,-19.5,-15.0,-25,12.5,18.0,-4.5,10.0,0.0,False
user,da-15-1,1,10.0,10.0,14.0,9.666666666666664,21,-4.0,-11.0,4.333333333333336,-11.333333333333336,-50.0,False
user,da-15-1,2,10.0,10.0,20.0,18.833333333333332,33,-10.0,-23.0,1.1666666666666679,-14.166666666666668,-100.0,False
user,da-15-1,3,0.0,0.0,-52.5,-48.5,-49.5,52.5,49.5,-4.0,1.0,-100.0,False
user,da-15-2,1,-6.0,-6.0,-11.0,4.166666666666668,-8,5.0,2.0,-15.166666666666668,12.166666666666668,0.0,False
user,da-15-2,2,-10.0,-15.0,-7.5,-14.333333333333332,4.5,-2.5,-14.5,6.833333333333332,-18.833333333333332,0.0,False
user,da-15-2,3,0.0,0.0,-18.0,-1.5,4,18.0,-4.0,-16.5,-5.5,-100.0,False
user,da-15-7,1,0.0,0.0,-5.0,-1.6666666666666679,10,5.0,-10.0,-3.333333333333332,-11.666666666666668,-50.0,False
user,da-15-7,2,0.0,0.0,4.0,4.0,22,-4.0,-22.0,0.0,-18.0,0.0,False
user,da-15-7,3,0.0,0.0,8.5,6.833333333333336,17,-8.5,-17.0,1.6666666666666643,-10.166666666666664,-50.0,False
user,da-15-8,1,0.0,0.0,-3.0,-1.3333333333333357,-16.5,3.0,16.5,-1.6666666666666643,15.166666666666664,-50.0,False
user,da-15-8,2,0.0,0.0,-2.5,-9.0,-2.5,2.5,2.5,6.5,-6.5,0.0,False
user,da-15-8,3,-10.0,-10.0,0.5,4.833333333333336,-27.5,-10.5,17.5,-4.333333333333336,32.333333333333336,0.0,True
user,da-16-1,1,0.0,0.0,0.0,0.6666666666666643,-5.5,0.0,5.5,-0.6666666666666643,6.166666666666664,0.0,False
user,da-16-1,2,0.0,0.0,0.0,-2.5,13.5,0.0,-13.5,2.5,-16.0,0.0,False
user,da-16-1,3,0.0,0.0,-6.5,-1.6666666666666643,10.5,6.5,-10.5,-4.833333333333336,-12.166666666666664,0.0,False
user,da-18-5,1,0.0,0.0,0.0,8.333333333333336,15.5,0.0,-15.5,-8.333333333333336,-7.166666666666664,0.0,False
