rubric_type,feedback_type,assignment_count,task_count,weak_to_strong_initial_gap,weak_to_strong_initial_gap_clustered_95_lower,weak_to_strong_initial_gap_clustered_95_upper,weak_to_strong_final_gap,weak_to_strong_final_gap_clustered_95_lower,weak_to_strong_final_gap_clustered_95_upper,weak_to_strong_gap_change,weak_to_strong_gap_change_clustered_95_lower,weak_to_strong_gap_change_clustered_95_upper,active_strong_to_holistic_gap_change,active_strong_to_holistic_gap_change_clustered_95_lower,active_strong_to_holistic_gap_change_clustered_95_upper,common_strong_to_holistic_gap_change,common_strong_to_holistic_gap_change_clustered_95_lower,common_strong_to_holistic_gap_change_clustered_95_upper
static,full,60,20,10.251666666666667,8.015,12.465083333333332,6.675,3.8266250000000004,10.163416666666665,-3.576666666666666,-7.181708333333331,0.543375000000001,47.49666666666667,39.36987500000001,55.84004166666668,47.49666666666667,39.409875,55.75670833333334
static,semi,60,20,10.251666666666667,8.061625,12.531708333333333,7.9816666666666665,5.869958333333334,10.146708333333333,-2.27,-4.7484166666666665,0.3100416666666667,12.33,6.369958333333334,18.788499999999996,12.33,6.531625,18.865041666666663
static,score-only,60,20,10.251666666666667,8.076625,12.581666666666665,10.501666666666667,7.684958333333334,13.505041666666665,0.25000000000000067,-1.7417083333333327,2.1683750000000006,-8.233333333333333,-12.148499999999999,-4.159875000000001,-8.233333333333333,-12.251708333333331,-4.123333333333333
static,user-simulator,60,20,10.251666666666667,8.078333333333335,12.448333333333332,8.07,5.389874999999999,10.593458333333333,-2.181666666666666,-4.526666666666666,0.11170833333333391,-9.4,-12.931708333333333,-5.578291666666667,-9.4,-13.020249999999999,-5.593333333333334
offline-rubric,full,60,20,11.225,8.85495833333333,13.875041666666666,4.448333333333333,2.6349583333333326,6.283333333333332,-6.776666666666667,-9.93175,-4.121666666666668,48.55833333333333,41.3,55.374999999999986,46.406666666666666,39.28141666666666,52.95345833333333
offline-rubric,semi,60,20,10.268333333333334,7.826583333333332,12.844999999999999,8.543333333333333,5.848291666666667,11.331666666666667,-1.7249999999999985,-4.086666666666666,0.8433750000000019,13.874999999999998,7.764833333333332,20.85724999999999,12.353333333333332,5.829916666666667,19.476874999999996
offline-rubric,score-only,60,20,11.026666666666667,8.463291666666667,13.573374999999999,8.883333333333333,6.38825,11.453333333333331,-2.143333333333333,-4.201666666666665,-0.1966666666666675,-4.593333333333333,-7.803458333333334,-1.1148333333333338,-5.793333333333334,-9.168416666666667,-2.206625000000001
offline-rubric,user-simulator,60,20,11.691666666666666,9.559999999999999,14.130125,8.558333333333334,6.9683333333333355,10.058416666666666,-3.1333333333333333,-5.173333333333332,-1.3682500000000004,-9.011666666666667,-12.315000000000001,-5.5414583333333365,-10.146666666666668,-13.82516666666667,-6.144666666666671
online-rubric,full,60,20,10.423333333333334,7.758291666666665,13.091874999999995,4.713333333333334,2.6999583333333326,6.931666666666667,-5.709999999999999,-8.973374999999999,-2.778125000000001,48.22,40.84104166666667,55.91508333333333,44.94833333333334,37.51995833333333,52.49020833333333
online-rubric,semi,60,20,11.389999999999999,8.939958333333333,13.878375,9.278333333333332,6.043291666666667,12.623333333333331,-2.1116666666666672,-4.706666666666668,0.653416666666665,14.038333333333334,8.459958333333333,20.18845833333333,10.995000000000001,4.566666666666668,18.57333333333333
online-rubric,score-only,60,20,10.521666666666667,7.893291666666665,13.234999999999996,10.878333333333332,8.201624999999998,14.255083333333333,0.356666666666667,-2.0167083333333315,2.691708333333333,-6.278333333333334,-9.291708333333334,-3.2599583333333344,-7.126666666666667,-10.298416666666665,-3.7399583333333335
online-rubric,user-simulator,60,20,10.816666666666666,8.568291666666667,13.276999999999994,8.57,6.441666666666667,10.643375,-2.2466666666666666,-5.021708333333334,0.3418333333333309,-9.825,-13.786666666666667,-5.463291666666668,-11.045,-15.163333333333332,-6.454875000000003
