scope,scope_label,detector,feature,feature_label,n,rh_positive,rh_rate,score_mean_rh_positive,score_mean_rh_negative,score_mean_difference,score_mean_difference_ci_low,score_mean_difference_ci_high,raw_point_biserial_r,raw_r_ci_low,raw_r_ci_high,adjusted_r,adjusted_r_ci_low,adjusted_r_ci_high,adjusted_risk_difference_per_10_points,adjusted_risk_difference_ci_low,adjusted_risk_difference_ci_high,within_cell_permutation_p,strata,informative_strata,detector_family_bh_q
pooled,Pooled,three-model-majority,baseline_score,Baseline score,704,47,0.06676136363636363,38.702127659574465,34.916286149162865,3.7858415104116006,-8.103231264369104,17.766997455897247,0.027755196302134605,-0.05705433567044564,0.1247954467421351,0.07342352880637369,-0.023221792669673263,0.16268201595724402,0.008961867024833379,-0.002538812860887755,0.021235891918244567,0.12818718128187181,240,29,1.0
pooled,Pooled,three-model-majority,final_score,Final score,704,47,0.06676136363636363,91.17021276595744,89.6103500761035,1.5598626898539436,-1.8106563202083843,4.824877375889472,0.020864036531628088,-0.022503073617855817,0.06317219289242525,0.037916091665399033,-0.05634854221269723,0.12324542378822381,0.006417102800210501,-0.010609474095487903,0.02050994958603274,0.5263473652634737,240,20,1.0
pooled,Pooled,three-model-majority,score_gain,Final minus baseline score,704,47,0.06676136363636363,52.46808510638298,54.694063926940636,-2.225978820557657,-15.182971505563742,8.781005057712436,-0.016894659895667172,-0.10914633276339802,0.06419426997270104,-0.038222390841398515,-0.12374211644876143,0.04780350519298404,-0.003869870633482724,-0.013339738982144769,0.004576207756639236,0.43055694430556946,240,33,1.0
pooled,Pooled,three-model-majority,mean_post_score,Mean score after baseline,704,47,0.06676136363636363,89.8936170212766,87.60639269406391,2.2872243272126838,-1.417664339419981,5.205993503663684,0.030530083751039862,-0.01660488394387661,0.07310038131525703,0.02271073254312782,-0.052224365632212506,0.08997666614022738,0.004306490684224439,-0.010680731790356847,0.01777195710582096,0.6758324167583242,240,31,1.0
pooled,Pooled,complete-panel-any-detector,baseline_score,Baseline score,704,205,0.2911931818181818,28.141463414634146,38.056112224448896,-9.91464880981475,-18.41759606061788,-0.6224674254758482,-0.13229846326232572,-0.24358380452112574,-0.007835852341058679,-0.04514545949150747,-0.12424002363878067,0.03983536449958668,-0.008719342272872684,-0.024215534322693424,0.00854985334847417,0.36796320367963203,240,62,0.7359264073592641
pooled,Pooled,complete-panel-any-detector,final_score,Final score,704,205,0.2911931818181818,86.41951219512195,91.06813627254509,-4.648624077423136,-11.485868168485464,0.691540045367939,-0.11317017331713396,-0.24815159881993032,0.01847228816105819,0.06773940416881628,-0.08162147552754483,0.22114912917065274,0.018141083002671206,-0.02181636983960346,0.062183498267089896,0.25807419258074193,240,49,0.7359264073592641
pooled,Pooled,complete-panel-any-detector,score_gain,Final minus baseline score,704,205,0.2911931818181818,58.27804878048781,53.012024048096194,5.266024732391614,-3.619340657753691,13.254780303952497,0.07274563005582443,-0.04918207070479639,0.18741379701658317,0.07797134458320919,-0.03351799819633944,0.18364159778085304,0.012491656336416513,-0.005222318952200307,0.02999298129171376,0.146985301469853,240,79,0.7359264073592641
pooled,Pooled,complete-panel-any-detector,mean_post_score,Mean score after baseline,704,205,0.2911931818181818,84.61951219512196,89.04889779559119,-4.429385600469232,-10.807219529621333,0.8910784823983934,-0.107611407838991,-0.2362566679817371,0.023125912169035697,0.06570522564369607,-0.06998058215738198,0.20952316208113617,0.019715086478653367,-0.021233527553080847,0.06443844038099394,0.26807319268073193,240,75,0.7359264073592641
pooled,Pooled,gpt-5.6-sol,baseline_score,Baseline score,720,200,0.2777777777777778,27.83,37.85769230769231,-10.027692307692313,-18.11221285374361,-0.3164907147844177,-0.13249960852019568,-0.23640677960165749,-0.004392990277980648,-0.0332447551899152,-0.12491767886235199,0.05194226144751137,-0.006338143355626634,-0.025360320720165107,0.010493057603733496,0.5077492250774922,240,59,0.9075092490750925
pooled,Pooled,gpt-5.6-sol,final_score,Final score,720,200,0.2777777777777778,86.63,90.14807692307693,-3.518076923076933,-10.5466761757943,2.020277576084444,-0.08085684635506128,-0.21311145948841667,0.05193908883215386,0.10499185714669508,-0.04229304841066372,0.24832182007435694,0.026052088784902876,-0.010270359152440355,0.06354239477765808,0.05909409059094091,240,50,0.3020586830205868
pooled,Pooled,gpt-5.6-sol,score_gain,Final minus baseline score,720,200,0.2777777777777778,58.8,52.29038461538462,6.50961538461538,-2.2517460959672646,14.34835101304167,0.08865058935304425,-0.029286673102504445,0.19738729209479125,0.09167955443412751,-0.017965311954122196,0.19372355609602449,0.014067181089941672,-0.0028070603858403294,0.029987641257152448,0.067993200679932,240,77,0.3020586830205868
pooled,Pooled,gpt-5.6-sol,mean_post_score,Mean score after baseline,720,200,0.2777777777777778,84.73849999999999,88.16134615384615,-3.422846153846166,-9.526849121849105,1.5038152315731932,-0.07862890341215988,-0.1981347432994491,0.03669960139682679,0.1032833555721432,-0.03465592400397372,0.24346596382141605,0.02844653743531138,-0.0091236306674096,0.06965139879388607,0.06519348065193481,240,76,0.3020586830205868
pooled,Pooled,claude-opus-4-8,baseline_score,Baseline score,713,27,0.037868162692847124,39.7037037037037,35.02769679300292,4.676006910700785,-7.779621117186908,17.697370827226305,0.026250204785484073,-0.03621265470040965,0.10012688101347024,0.09725605501111567,0.03728291201901916,0.1627696528684279,0.009424261231818503,0.002710003953854132,0.020936013738746616,0.004199580041995801,240,18,0.11758824117588242
pooled,Pooled,claude-opus-4-8,final_score,Final score,713,27,0.037868162692847124,89.70370370370371,89.24489795918367,0.45880574452003486,-4.85795300407012,4.993826837570671,0.004492419197950775,-0.04139859913773886,0.050062694145263334,0.055618876486104606,-0.028310122740804678,0.13912683331876283,0.007105425001940559,-0.0036871661855732182,0.018985451728326587,0.40875912408759124,240,14,0.8391792399707397
pooled,Pooled,claude-opus-4-8,score_gain,Final minus baseline score,713,27,0.037868162692847124,50.0,54.21720116618076,-4.217201166180757,-15.46871358503959,6.329668388690373,-0.024373840533696872,-0.08464660217601602,0.03292717712455952,-0.04468720137076622,-0.11356172838571624,0.030498677877532306,-0.0035139392540947567,-0.010911126389274942,0.002185353693343691,0.3183681631836816,240,21,0.8391792399707397
pooled,Pooled,claude-opus-4-8,mean_post_score,Mean score after baseline,713,27,0.037868162692847124,88.68888888888888,87.27507288629737,1.413816002591517,-3.744788600288578,5.477309875158018,0.013825947081646165,-0.030242441717523244,0.054588738844866626,0.0420133392440763,-0.024773813210999703,0.1052220492463861,0.005961280696206877,-0.0033532332377677614,0.016291354257029857,0.48765123487651235,240,19,0.8391792399707397
pooled,Pooled,gemini-3.1-pro-preview,baseline_score,Baseline score,711,38,0.053445850914205346,33.94736842105263,35.09658246656761,-1.1492140455149809,-11.156260999400333,11.144095459986316,-0.0076155394421823005,-0.07360691798977526,0.06649219456320989,0.0019943944576781857,-0.09234754450834144,0.09443498475640527,0.00024055065481324678,-0.010772190899977383,0.011600536704638682,0.9731026897310269,240,30,1.0
pooled,Pooled,gemini-3.1-pro-preview,final_score,Final score,711,38,0.053445850914205346,87.73684210526316,89.72362555720653,-1.9867834519433671,-8.089144937842397,2.3420171421654445,-0.023940285116965023,-0.08708621531183501,0.02870433587038251,-0.03996561766515536,-0.11813010804622583,0.025812984083868413,-0.006586065766571011,-0.02272975774764115,0.004138569398702197,0.3026697330266973,240,17,0.9416391694163916
pooled,Pooled,gemini-3.1-pro-preview,score_gain,Final minus baseline score,711,38,0.053445850914205346,53.78947368421053,54.62704309063893,-0.8375694064284005,-12.003459640454418,8.127664000261568,-0.005752341242824436,-0.07395950164317643,0.05589793216434507,-0.025689127502059633,-0.11413248054686671,0.06442048433867804,-0.002547455061421542,-0.011942035842568104,0.0061521582841997284,0.5908409159084091,240,32,0.9610675296106752
