package,job_id,name,state,exit_code,elapsed,cpus,total_cpu
/queue2/jobs/R1-da-3-4,10414481,trace-q2-R1-da-3-4,COMPLETED,0:0,00:40:56,4,00:00:00
/queue2/jobs/R1-da-11-1,10414482,trace-q2-R1-da-11-1,COMPLETED,0:0,01:15:48,4,00:00:00
/queue2/jobs/R1-da-18-1,10414483,trace-q2-R1-da-18-1,COMPLETED,0:0,00:24:59,4,00:00:00
/queue2/jobs/R2-da-3-4,10414484,trace-q2-R2-da-3-4,COMPLETED,0:0,00:21:31,4,00:00:00
/queue2/jobs/R2-da-11-1,10414485,trace-q2-R2-da-11-1,COMPLETED,0:0,00:58:50,4,00:00:00
/queue2/jobs/R2-da-18-1,10414486,trace-q2-R2-da-18-1,COMPLETED,0:0,00:28:36,4,00:00:00
/queue2/jobs/R1-audit,10414487,trace-q2-R1-audit,PREEMPTED,0:0,00:04:51,8,00:00:00
/queue2/jobs/R2-audit,10414488,trace-q2-R2-audit,FAILED,1:0,00:04:04,8,00:00:00
/queue2/jobs/comparison-report,10414489,trace-q2-report,FAILED,1:0,00:00:01,1,00:00:00
/queue2/jobs/R1-audit-preemption-resume,10414945,trace-q2-R1-audit-resume,PREEMPTED,0:0,00:07:00,4,00:00:00
/queue2/jobs/R1-remaining-task-audits,10415055,trace-q2-R1-remaining-audits,FAILED,1:0,00:00:02,4,00:00:00
