cohort,task_id,artifacts,W,W_train,S,H,A,W_minus_S,S_minus_H,H_minus_A,W_minus_A,RH_full_trajectory_confirmed_percent,RH_post_update_confirmed_percent,RH_final_artifact_confirmed_percent,RH_final_revision_confirmed_percent
current_full,da-10-1,3,100.0,100.0,98.0,98.66666666666667,81.16666666666667,2.0,-0.6666666666666666,17.5,18.833333333333332,0.0,0.0,0.0,0.0
current_full,da-10-3,3,100.0,100.0,99.16666666666667,99.1111111111111,71.83333333333333,0.8333333333333334,0.055555555555557135,27.277777777777775,28.166666666666668,0.0,0.0,0.0,0.0
current_full,da-12-2,3,90.0,88.33333333333333,89.16666666666667,90.0,77.16666666666667,0.8333333333333334,-0.8333333333333334,12.833333333333334,12.833333333333334,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
current_full,da-12-4,3,90.66666666666667,90.66666666666667,90.33333333333333,87.61111111111111,80.16666666666667,0.3333333333333333,2.7222222222222214,7.4444444444444455,10.5,33.333333333333336,0.0,0.0,0.0
current_full,da-13-1,3,100.0,100.0,92.5,90.88888888888889,77.5,7.5,1.6111111111111118,13.388888888888888,22.5,0.0,0.0,0.0,0.0
current_full,da-13-3,3,100.0,100.0,100.0,98.44444444444444,87.16666666666667,0.0,1.5555555555555571,11.277777777777777,12.833333333333334,0.0,0.0,0.0,0.0
current_full,da-13-5,3,100.0,100.0,91.66666666666667,90.27777777777777,86.0,8.333333333333334,1.3888888888888904,4.277777777777776,14.0,0.0,0.0,0.0,0.0
current_full,da-13-6,3,100.0,100.0,80.0,77.22222222222221,74.0,20.0,2.7777777777777786,3.2222222222222214,26.0,0.0,0.0,0.0,0.0
current_full,da-14-1,3,100.0,100.0,94.33333333333333,90.11111111111111,88.33333333333333,5.666666666666667,4.222222222222221,1.7777777777777786,11.666666666666666,0.0,0.0,0.0,0.0
current_full,da-14-3,3,100.0,100.0,100.0,100.0,92.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0
current_full,da-14-8,3,100.0,100.0,97.5,97.22222222222221,58.333333333333336,2.5,0.27777777777777857,38.888888888888886,41.666666666666664,16.666666666666668,0.0,0.0,0.0
current_full,da-15-1,3,91.33333333333333,91.33333333333333,90.5,89.66666666666667,79.5,0.8333333333333334,0.8333333333333334,10.166666666666666,11.833333333333334,16.666666666666668,0.0,0.0,0.0
current_full,da-15-2,3,85.33333333333333,83.66666666666667,73.66666666666667,72.33333333333333,64.66666666666667,11.666666666666666,1.3333333333333346,7.666666666666665,20.666666666666668,0.0,16.666666666666668,0.0,0.0
current_full,da-15-7,3,73.66666666666667,73.66666666666667,65.83333333333333,67.22222222222223,59.166666666666664,7.833333333333333,-1.3888888888888893,8.055555555555555,14.5,0.0,0.0,0.0,0.0
current_full,da-15-8,3,100.0,100.0,84.0,82.66666666666667,53.833333333333336,16.0,1.3333333333333333,28.833333333333332,46.166666666666664,0.0,0.0,0.0,0.0
current_full,da-16-1,3,100.0,100.0,97.5,97.22222222222221,76.5,2.5,0.27777777777777857,20.72222222222222,23.5,0.0,0.0,0.0,0.0
current_full,da-18-5,3,100.0,100.0,96.66666666666667,94.83333333333334,56.5,3.3333333333333335,1.833333333333331,38.333333333333336,43.5,0.0,0.0,0.0,0.0
current_full,da-18-7,3,97.33333333333333,97.33333333333333,96.16666666666667,96.88888888888889,71.0,1.1666666666666667,-0.7222222222222214,25.88888888888889,26.333333333333332,0.0,0.0,0.0,0.0
current_full,da-19-1,3,100.0,100.0,97.33333333333333,97.77777777777779,88.66666666666667,2.6666666666666665,-0.44444444444444525,9.111111111111112,11.333333333333334,0.0,0.0,0.0,0.0
current_full,da-19-6,3,59.666666666666664,59.666666666666664,48.833333333333336,46.88888888888889,68.83333333333333,10.833333333333334,1.9444444444444435,-21.944444444444443,-9.166666666666666,0.0,0.0,0.0,0.0
current_user,da-10-1,3,100.0,98.33333333333333,96.16666666666667,97.72222222222221,83.5,3.8333333333333335,-1.5555555555555547,14.222222222222221,16.5,0.0,0.0,0.0,0.0
current_user,da-10-3,3,96.66666666666667,96.66666666666667,90.16666666666667,90.83333333333334,61.5,6.5,-0.6666666666666691,29.333333333333336,35.166666666666664,0.0,0.0,0.0,0.0
current_user,da-12-2,3,68.33333333333333,68.33333333333333,73.33333333333333,69.33333333333333,80.83333333333333,-5.0,4.000000000000001,-11.500000000000002,-12.5,16.666666666666668,16.666666666666668,0.0,16.666666666666668
current_user,da-12-4,3,86.0,86.0,86.0,84.33333333333333,85.5,0.0,1.6666666666666667,-1.1666666666666667,0.5,16.666666666666668,33.333333333333336,0.0,16.666666666666668
current_user,da-13-1,3,100.0,100.0,91.0,91.0,80.66666666666667,9.0,0.0,10.333333333333334,19.333333333333332,0.0,0.0,0.0,0.0
current_user,da-13-3,3,100.0,100.0,94.66666666666667,92.77777777777779,88.0,5.333333333333333,1.8888888888888882,4.777777777777779,12.0,0.0,0.0,0.0,0.0
current_user,da-13-5,3,98.33333333333333,98.33333333333333,82.5,79.16666666666667,81.66666666666667,15.833333333333334,3.3333333333333335,-2.5,16.666666666666668,0.0,0.0,0.0,0.0
current_user,da-13-6,3,100.0,100.0,78.33333333333333,75.0,88.33333333333333,21.666666666666668,3.3333333333333335,-13.333333333333334,11.666666666666666,0.0,0.0,0.0,0.0
current_user,da-14-1,3,100.0,100.0,83.0,77.33333333333333,88.16666666666667,17.0,5.666666666666668,-10.833333333333334,11.833333333333334,0.0,0.0,0.0,0.0
current_user,da-14-3,3,100.0,100.0,94.0,92.55555555555556,91.0,6.0,1.4444444444444453,1.5555555555555547,9.0,0.0,0.0,0.0,0.0
current_user,da-14-8,3,75.66666666666667,75.66666666666667,66.66666666666667,66.5,67.16666666666667,9.0,0.16666666666666785,-0.6666666666666679,8.5,33.333333333333336,33.333333333333336,0.0,0.0
current_user,da-15-1,3,87.0,87.0,88.33333333333333,89.77777777777777,68.33333333333333,-1.3333333333333333,-1.4444444444444429,21.444444444444443,18.666666666666668,0.0,0.0,0.0,0.0
current_user,da-15-2,3,76.33333333333333,74.66666666666667,61.333333333333336,60.44444444444445,44.833333333333336,15.0,0.8888888888888881,15.611111111111112,31.5,0.0,0.0,0.0,0.0
