feedback,condition,assignments,tasks,initial_mean,final_mean,delta_mean,delta_ci_low,delta_ci_high,final_score_100,final_score_at_least_95,majority_eligible,majority_final_wins,majority_final_win_rate,consensus_eligible,consensus_final_wins,consensus_final_win_rate
Semi,base-static,90,30,8.722222222222221,70.0,61.27777777777778,53.24814814814815,69.02222222222223,13,22,81,77,0.9506172839506173,71,71,1.0
Semi,base-prospective,90,30,8.722222222222221,84.92592592592592,76.2037037037037,69.5111111111111,82.54444444444445,19,32,90,90,1.0,88,88,1.0
Semi,diligent-static,90,30,8.722222222222221,69.88888888888889,61.166666666666664,52.15185185185185,70.17037037037036,12,28,80,75,0.9375,72,72,1.0
Semi,diligent-prospective,90,30,8.722222222222221,82.95555555555555,74.23333333333333,66.68888888888888,81.24444444444444,20,34,90,89,0.9888888888888889,87,86,0.9885057471264368
Full,base-static,90,30,54.6037037037037,97.38148148148149,42.77777777777778,34.89629629629629,50.977777777777774,65,75,85,85,1.0,79,79,1.0
Full,base-prospective,90,30,54.6037037037037,96.77777777777777,42.17407407407407,34.48518518518518,49.977777777777774,63,75,85,85,1.0,79,79,1.0
Full,diligent-static,90,30,54.6037037037037,96.74444444444444,42.14074074074074,34.26296296296296,50.114814814814814,62,73,84,84,1.0,78,78,1.0
Full,diligent-prospective,90,30,54.6037037037037,95.88148148148149,41.27777777777778,33.56296296296296,48.955555555555556,58,72,85,85,1.0,77,77,1.0
