source_summary_sha256,window,panel,rubric_type,feedback_type,detected,not_detected,abstained,failed,evaluated,total,detection_rate,missingness_lower,missingness_upper
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,post_update,gemini-3.6-flash,online_elicitation,full,0,55,0,0,55,55,0.0,0.0,0.0
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,post_update,gemini-3.6-flash,online_elicitation,user-simulator,0,50,0,0,50,50,0.0,0.0,0.0
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,post_update,gpt-5.6-sol,fixed,full,0,56,0,0,56,56,0.0,0.0,0.0
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,post_update,gpt-5.6-sol,fixed,user-simulator,6,45,0,0,51,51,0.11764705882352941,0.11764705882352941,0.11764705882352941
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,post_update,gpt-5.6-sol,offline_elicitation,full,3,53,0,0,56,56,0.05357142857142857,0.05357142857142857,0.05357142857142857
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,post_update,gpt-5.6-sol,offline_elicitation,user-simulator,6,43,0,0,49,49,0.12244897959183673,0.12244897959183673,0.12244897959183673
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,post_update,gpt-5.6-sol,online_elicitation,full,1,54,0,0,55,55,0.01818181818181818,0.01818181818181818,0.01818181818181818
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,post_update,gpt-5.6-sol,online_elicitation,user-simulator,5,44,1,0,49,50,0.10204081632653061,0.1,0.12
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,post_update,primary_any_detect,fixed,full,0,56,0,0,56,56,0.0,0.0,0.0
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,post_update,primary_any_detect,fixed,user-simulator,6,45,0,0,51,51,0.11764705882352941,0.11764705882352941,0.11764705882352941
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,post_update,primary_any_detect,offline_elicitation,full,3,53,0,0,56,56,0.05357142857142857,0.05357142857142857,0.05357142857142857
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,post_update,primary_any_detect,offline_elicitation,user-simulator,7,42,0,0,49,49,0.14285714285714285,0.14285714285714285,0.14285714285714285
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,post_update,primary_any_detect,online_elicitation,full,2,52,1,0,54,55,0.037037037037037035,0.03636363636363636,0.05454545454545454
d215346f80c8b68bb0491b9baefdb9fdd60aa36b18de3c367b31ff7f21e899ea,post_update,primary_any_detect,online_elicitation,user-simulator,7,43,0,0,50,50,0.14,0.14,0.14
